"","UniqueID","sample_file"
"1","name_1","Group001Sample0001SEM.dat"
"2","name_2","Group001Sample0002SEM.dat"
"3","name_3","Group001Sample0003SEM.dat"
"4","name_4","Group001Sample0004SEM.dat"
"5","name_5","Group001Sample0005SEM.dat"
"6","name_6","Group001Sample0006SEM.dat"
"7","name_7","Group001Sample0007SEM.dat"
"8","name_8","Group002Sample0001SEM.dat"
"9","name_9","Group002Sample0002SEM.dat"
"10","name_10","Group002Sample0003SEM.dat"
"11","name_11","Group002Sample0004SEM.dat"
"12","name_12","Group002Sample0005SEM.dat"
"13","name_13","Group002Sample0006SEM.dat"
"14","name_14","Group002Sample0007SEM.dat"
"15","name_15","Group003Sample0001SEM.dat"
"16","name_16","Group003Sample0002SEM.dat"
"17","name_17","Group003Sample0003SEM.dat"
"18","name_18","Group003Sample0004SEM.dat"
"19","name_19","Group003Sample0005SEM.dat"
"20","name_20","Group003Sample0006SEM.dat"
"21","name_21","Group003Sample0007SEM.dat"
"22","name_22","Group004Sample0001SEM.dat"
"23","name_23","Group004Sample0002SEM.dat"
"24","name_24","Group004Sample0003SEM.dat"
"25","name_25","Group004Sample0004SEM.dat"
"26","name_26","Group004Sample0005SEM.dat"
"27","name_27","Group004Sample0006SEM.dat"
"28","name_28","Group004Sample0007SEM.dat"
"29","name_29","Group005Sample0001SEM.dat"
"30","name_30","Group005Sample0002SEM.dat"
"31","name_31","Group005Sample0003SEM.dat"
"32","name_32","Group005Sample0004SEM.dat"
"33","name_33","Group005Sample0005SEM.dat"
"34","name_34","Group005Sample0006SEM.dat"
"35","name_35","Group005Sample0007SEM.dat"
"36","name_36","Group006Sample0001SEM.dat"
"37","name_37","Group006Sample0002SEM.dat"
"38","name_38","Group006Sample0003SEM.dat"
"39","name_39","Group006Sample0004SEM.dat"
"40","name_40","Group006Sample0005SEM.dat"
"41","name_41","Group006Sample0006SEM.dat"
"42","name_42","Group006Sample0007SEM.dat"
"43","name_43","Group007Sample0001SEM.dat"
"44","name_44","Group007Sample0002SEM.dat"
"45","name_45","Group007Sample0003SEM.dat"
"46","name_46","Group007Sample0004SEM.dat"
"47","name_47","Group007Sample0005SEM.dat"
"48","name_48","Group007Sample0006SEM.dat"
"49","name_49","Group007Sample0007SEM.dat"
"50","name_50","Group008Sample0001SEM.dat"
"51","name_51","Group008Sample0002SEM.dat"
"52","name_52","Group008Sample0003SEM.dat"
"53","name_53","Group008Sample0004SEM.dat"
"54","name_54","Group008Sample0005SEM.dat"
"55","name_55","Group008Sample0006SEM.dat"
"56","name_56","Group008Sample0007SEM.dat"
"57","name_57","Group009Sample0001SEM.dat"
"58","name_58","Group009Sample0002SEM.dat"
"59","name_59","Group009Sample0003SEM.dat"
"60","name_60","Group009Sample0004SEM.dat"
"61","name_61","Group009Sample0005SEM.dat"
"62","name_62","Group009Sample0006SEM.dat"
"63","name_63","Group009Sample0007SEM.dat"
"64","name_64","Group010Sample0001SEM.dat"
"65","name_65","Group010Sample0002SEM.dat"
"66","name_66","Group010Sample0003SEM.dat"
"67","name_67","Group010Sample0004SEM.dat"
"68","name_68","Group010Sample0005SEM.dat"
"69","name_69","Group010Sample0006SEM.dat"
"70","name_70","Group010Sample0007SEM.dat"
"71","name_71","Group011Sample0001SEM.dat"
"72","name_72","Group011Sample0002SEM.dat"
"73","name_73","Group011Sample0003SEM.dat"
"74","name_74","Group011Sample0004SEM.dat"
"75","name_75","Group011Sample0005SEM.dat"
"76","name_76","Group011Sample0006SEM.dat"
"77","name_77","Group011Sample0007SEM.dat"
"78","name_78","Group012Sample0001SEM.dat"
"79","name_79","Group012Sample0002SEM.dat"
"80","name_80","Group012Sample0003SEM.dat"
"81","name_81","Group012Sample0004SEM.dat"
"82","name_82","Group012Sample0005SEM.dat"
"83","name_83","Group012Sample0006SEM.dat"
"84","name_84","Group012Sample0007SEM.dat"
"85","name_85","Group013Sample0001SEM.dat"
"86","name_86","Group013Sample0002SEM.dat"
"87","name_87","Group013Sample0003SEM.dat"
"88","name_88","Group013Sample0004SEM.dat"
"89","name_89","Group013Sample0005SEM.dat"
"90","name_90","Group013Sample0006SEM.dat"
"91","name_91","Group013Sample0007SEM.dat"
"92","name_92","Group014Sample0001SEM.dat"
"93","name_93","Group014Sample0002SEM.dat"
"94","name_94","Group014Sample0003SEM.dat"
"95","name_95","Group014Sample0004SEM.dat"
"96","name_96","Group014Sample0005SEM.dat"
"97","name_97","Group014Sample0006SEM.dat"
"98","name_98","Group014Sample0007SEM.dat"
"99","name_99","Group015Sample0001SEM.dat"
"100","name_100","Group015Sample0002SEM.dat"
"101","name_101","Group015Sample0003SEM.dat"
"102","name_102","Group015Sample0004SEM.dat"
"103","name_103","Group015Sample0005SEM.dat"
"104","name_104","Group015Sample0006SEM.dat"
"105","name_105","Group015Sample0007SEM.dat"
"106","name_106","Group016Sample0001SEM.dat"
"107","name_107","Group016Sample0002SEM.dat"
"108","name_108","Group016Sample0003SEM.dat"
"109","name_109","Group016Sample0004SEM.dat"
"110","name_110","Group016Sample0005SEM.dat"
