"","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240"
"248.336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252.814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264377468276675,0.0016667551182053
"257.296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311694787879065,0.0161839733487834,0.0269011047775426
"261.781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346742071943727,0.0128420626787928,0.0112479330415272,0.0160763408917353
"266.271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411000713024832,0.0121123615121285,0.00413972980813936,0.0144368925627251,0.0211025653172986
"270.764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31642594719824,0.0119994040470192,0.00557825989546177,0.0101079340953132,0.0203032761313487,-0.00893974203844751
"275.26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287158699480272,0.0182819670730991,0.00987142256806925,0.00968820850841623,0.0244339839821019,0.0103061689195404,0.00389286930770383
"279.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232915686229317,0.0238577906252112,0.00851222832212407,0.0058167415237923,0.0212076865802917,0.0164211977432332,0.0039573037282968,-0.000977254678440425
"284.264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303186691079015,0.0117002090434664,0.0115626777328176,0.0192248745763741,0.0132228520826683,0.00553054172027096,0.00507525788689827,0.00120271165671648
"288.772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453699426847584,0.0182078185921889,0.0162770189054978,0.021134666097768,0.0240541755709036,0.0092283472949238,0.00766178995817259,0.00658968808908147,0.000453037566586705
"293.283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521205415010238,0.0192198452550706,0.022643745756288,0.0225208703211851,0.0288146240806342,0.0167114907410564,0.0113151655783734,0.010515631650215,0.00838569929436716,0.0155021303269559
"297.797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06645227779992,0.0184012201365995,0.0238964108247072,0.027279869109948,0.0351464259091115,0.0268455611908433,0.0180867532302006,0.0139857049463435,0.0120672589253438,0.015704422112543,0.0173642135315343
"302.315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090610448281782,0.0128658735314894,0.0190273362683399,0.0271491634204282,0.0391415802022262,0.0364349555109257,0.0266502197731639,0.0217890639795396,0.0189621399949524,0.0173477852650034,0.0171150796749039,0.0230439237000411
"306.837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136740420518179,0.00957000306282112,0.0123241307773183,0.0188296208288944,0.0307103902704335,0.0397746382757196,0.0298742613324233,0.024500821197437,0.0221860892794258,0.0194796941745933,0.0189586866511551,0.0174205250630745,0.0209245859660346
"311.362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126787864990453,0.00793823435566085,0.00902695862645788,0.0130948101654375,0.0226405243683496,0.034732025646226,0.0299389618171379,0.0283011605730091,0.0238374666337012,0.0215700091639573,0.0207113154586243,0.0203843202008194,0.0155873329308672,0.0110211777131721
"315.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304566749658132,0.0069215966593048,0.00766702719765592,0.0106830637212339,0.0155964641817634,0.0277792619340892,0.0303616356343622,0.0286772310370977,0.0279129214498016,0.0260909751623334,0.0220110629106408,0.0206730429805863,0.0224452271663552,0.0181964462661012,0.0180983039141733
"320.422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462599190535801,0.00785841077391342,0.00566859462144895,0.00845446407413779,0.0117213158302172,0.021074560097777,0.027487378531717,0.02796346360498,0.0285520426744641,0.0271343185312005,0.0241199401307716,0.0220129479208822,0.0176176595543175,0.0155315526416069,0.016445733556245,0.014350211540367
"324.958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457002862854761,0.0103187486617552,0.00577345815003677,0.00726291519634172,0.00981342753512475,0.018248296131239,0.0261529843297865,0.0271475303056346,0.0307751664827828,0.0316945180306138,0.0293008480128924,0.0272725314034559,0.0243460330083646,0.0226775732444876,0.0189734252610435,0.0208026610894231,0.0273294134625789
"329.496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424250427799622,0.0175748826795063,0.00520372738048023,0.0056381740923242,0.00728705769804769,0.0111664078729709,0.0227341465404118,0.0239044769577483,0.0279816880914173,0.0307771609970397,0.0319447655981734,0.0298201407378005,0.0267186886247001,0.0243582294536488,0.0215683143938957,0.0204072267211135,0.0170047948296164,0.0188727189558404
"334.038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429707618057718,0.0260040541360625,0.00619027561795891,0.00600611194978231,0.00710510792453114,0.00926430428598882,0.0181513606504607,0.0197776375975264,0.0256629191515163,0.0299275907548498,0.0326694691501679,0.0327264478667136,0.0324950055632468,0.0272162055481134,0.0252553218515557,0.0244796475631218,0.0218163821363127,0.0249973766211393,0.030442976226771
"338.584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399574513722278,0.0353170447561209,0.00566435576006637,0.00625257555432868,0.00679254077599546,0.00809257477912832,0.0145114499677693,0.017258413066097,0.0195443690718522,0.0275968277079425,0.0316664881347228,0.0343611736466853,0.0338962974395809,0.0313067389441821,0.0300106628617551,0.0259226045681905,0.0224156008448906,0.024229937725377,0.0261242430432225,0.0252461296800927
"343.133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357451436190204,0.0551965681015527,0.00530455443188731,0.00612234497721209,0.0072072878219452,0.00789754147052723,0.0117458870928344,0.0169227517489164,0.0160072598720046,0.0206180042694671,0.0276848897220033,0.0324474437464191,0.0332921779057657,0.0320567612194719,0.0317787775079297,0.0292479920311163,0.0255007131439691,0.022122216000782,0.0229197130602208,0.0223249561602413,0.0262985072124939
"347.685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109795809705803,0.00666936742791875,0.00640888328865342,0.00731091020784586,0.00875177342674184,0.0106270305329886,0.0167903484364544,0.0148129088375955,0.0162714627633613,0.0210362206459081,0.0276146417556984,0.031295853744997,0.033843097374387,0.0337968854304374,0.0310278323784257,0.0284773706666404,0.025151023401549,0.0214038384767108,0.0217757677575885,0.0239486900557303,0.0291730473395125
"352.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17618262873897,0.00769938863006608,0.00820581205534313,0.00848487718278535,0.00942506148896147,0.0105635130778825,0.0159926548127937,0.0164839636752872,0.0157281167392473,0.0180607832055793,0.0226789241835066,0.0295280789321523,0.0327661291881772,0.0335250038266197,0.0328874451089214,0.0314035474229371,0.0288603938463728,0.02657895250915,0.0244242830458168,0.0244879329002649,0.0291321932302314,0.0255212352947658
"356.799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164352858921429,0.00866855190743169,0.00839745788383728,0.00988721710230073,0.0107632958195152,0.0118340861936906,0.0159067269816301,0.0178029356365536,0.0161197788617942,0.0172399334531594,0.0197365386446042,0.023676466026053,0.0289791575231487,0.0314013510555816,0.0328923407265903,0.0319163986042574,0.030877519799065,0.0290028781835362,0.0261804986331512,0.0254791947666631,0.0258106674050874,0.0290547974828969,0.0306981092501115
"361.361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13867435196111,0.0101583551442253,0.00925523583039863,0.0109112460815915,0.0129034245749494,0.0135644796102361,0.0162434093084868,0.0205586041178613,0.017979651099697,0.0184034001295893,0.0189119179259908,0.0216438720006074,0.0250334260545772,0.0302851995822727,0.0315976358150722,0.0321464722521903,0.0312260801779425,0.0297348610583238,0.0284348582157878,0.0272519758241155,0.0268928808542355,0.0291205351474286,0.0345440359840591,0.0354934503747926
"365.926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105129916088865,0.0103950166035268,0.00900907968467339,0.0117591160599425,0.014031417792164,0.0160957094770682,0.0177396385661588,0.0219404359265764,0.0217433950572442,0.0209063165479103,0.0215517289545268,0.0218767953729052,0.0236034796343715,0.0261937569035234,0.0296889043540716,0.0317536935011855,0.032514634949406,0.0321055008567258,0.0304035237909507,0.0290192104886059,0.0288205947193007,0.0305465401929003,0.0307383859522479,0.0333777791447967,0.0367638457914075
"370.495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667402892888889,0.0112400590705949,0.00789047846933316,0.0114038167799857,0.0135933984174115,0.0174535699803271,0.0192334503215429,0.0242576944670301,0.0260215186076859,0.024366192311668,0.0247326575595091,0.024547251208895,0.0242530570557856,0.0253191711062226,0.0269052259060176,0.0312938358183494,0.0328983646859935,0.032181648025654,0.0323767866259687,0.0303072926696984,0.0286808476720812,0.0278243807418589,0.0290354205410508,0.0303013082841435,0.0300403749100526,0.0369249424581378
"375.067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352504966088957,0.0155840281707177,0.00662506428766165,0.0101975496463705,0.0137724045511499,0.0174645350282004,0.0210795246011745,0.0247049494713209,0.0298693036978771,0.0291750603253239,0.0290853535167149,0.0291168584292945,0.0291918055671226,0.028125994888397,0.0272076043997061,0.0297398353045195,0.0321049746699553,0.0339166519265617,0.0334719621962869,0.0328861069859127,0.0318985366778937,0.030941001358705,0.030291942135806,0.0328138138941479,0.0360632039433535,0.035546681133225,0.0427281068170943
"379.641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529846579184312,0.019326880797536,0.00566305757501638,0.00815372560461005,0.011825795322895,0.0159244527012975,0.0204185672849643,0.0250100341850084,0.0320252582251989,0.031770773355568,0.032252197158142,0.032828929572525,0.0332518811411321,0.0313739495478967,0.0303995119654353,0.0302840413237332,0.0308398556318302,0.0335030544248175,0.0341039262513935,0.0335611266764291,0.0321177590850828,0.031450440508701,0.0315058879848278,0.0314790450665705,0.0343699036993944,0.0350170240853335,0.0372769172742207,0.044610675399583
"384.219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308715646637497,0.0252637411942204,0.00533993754019506,0.00704649266211243,0.0106694456743125,0.0145325961478589,0.0193263392771672,0.0243852281931713,0.0321409102521401,0.0358422685265789,0.0358045543385199,0.0375330009241423,0.0374867628635488,0.0363759313527684,0.0353375432176847,0.0334154940369405,0.0325654705045808,0.0334079639541498,0.0348077912817576,0.0354014039839428,0.0355709415435174,0.0337277590052256,0.0333698281688955,0.0323936484655492,0.0348451613421144,0.0366656416361086,0.0392937305833589,0.0441509444230412,0.0472922617063454
"388.801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278013118785908,0.0622457818098996,0.0047704642798936,0.0061097941444316,0.00821796526590854,0.0117065515010042,0.0163069371152862,0.0215343795210795,0.0288201087790552,0.0351918448253631,0.036640660983084,0.0391741062777251,0.0402573943818531,0.0399695702427141,0.0387033881037124,0.0374330197196594,0.0354858783612179,0.0336360239817885,0.0332617750320887,0.0353011599568559,0.0344608674218355,0.0341783323494814,0.0336651903795283,0.0337546549432673,0.0335841589568946,0.0342156616629871,0.0377384516663547,0.0408067854034388,0.0450433755615919,0.0525840422221
"393.385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276651248761001,0.0395383365912491,0.00518158550528558,0.00531451969842417,0.00758226879786043,0.0100201612898527,0.0133489778298103,0.0181335196506012,0.0241166690364581,0.0328214123533448,0.0354620580660992,0.0387175910151614,0.0408267833181995,0.0419682251411559,0.0413870258480675,0.0397381034792519,0.0383967733354468,0.0355600794700059,0.0340697602647704,0.0344414193608908,0.0348420742869969,0.0345853768877816,0.0344719155037067,0.0330067353349771,0.0334718278396223,0.0339717417811236,0.034956207408579,0.0381301065763507,0.043094750693101,0.0496400448307899,0.0504715880956125
"397.972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285735396944636,0.0431101430455912,0.00390959683994012,0.00561694728417936,0.00688437350167171,0.00886005205551781,0.0114968556918892,0.0152662613751027,0.020570490803346,0.0274626277598163,0.033059436147206,0.0364739664354322,0.0403928883980896,0.0428732248267718,0.0432846764368815,0.0424670380867568,0.0404242225373681,0.0391300808198845,0.0370899169329686,0.0350998300120438,0.0347434586216748,0.0346866056649636,0.0351355905395062,0.0343834640628589,0.0334122677861111,0.0332928213363991,0.0340312453147867,0.0358358250000222,0.0409375813863407,0.0447922394421634,0.0510978969079205,0.0516087422608177
"402.562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257212770471477,0.0535869435157964,0.00322968252481928,0.00408597664135613,0.0063462107441492,0.00789194513117455,0.0100650319101851,0.0131407956351254,0.0165562424135717,0.0228750239081905,0.0295933353339637,0.0330120826179185,0.0371498990296851,0.0406721730726976,0.042730902290237,0.0428800142199912,0.0418267306342653,0.0404275012834934,0.0383607902428257,0.0362553223538078,0.0344423854530715,0.0340060737773897,0.0340290261283337,0.0337817619876284,0.0334289684278156,0.033521249941825,0.0331749718927956,0.0339847964881536,0.0367498761852874,0.0414818542531245,0.0436559394034418,0.0490900280194735,0.0542922618544731
"407.156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219353580719001,0.0669792237217377,0.00287762928558542,0.00365586910077485,0.00486495067885303,0.0075481319304175,0.00921119224694478,0.0114598195319571,0.0145666989785878,0.0196899556460496,0.0257867226600712,0.0291712746090212,0.033892193641754,0.038594954746845,0.041214465251608,0.0430539799341466,0.0429927561537386,0.0421902746010795,0.0396655690356684,0.0379069201313404,0.0359449792064037,0.034437107440249,0.0335967957239843,0.0334896277009812,0.033306328008664,0.0330742094060625,0.0324116558312385,0.0327515769783174,0.0341241339077896,0.0360245637811859,0.0405316388304026,0.0437275114926928,0.048104847350124,0.0502623436766597
